,bus1,bus2,bus3
0,303500.0,303500.0,303500.0
1,303500.0,303500.0,303500.0
2,3500.0,3500.0,3500.0
3,3500.0,3500.0,3500.0
4,3500.0,3500.0,3500.0
5,3500.0,3500.0,3500.0
6,3500.0,3500.0,3500.0
7,3500.0,3500.0,3500.0
8,3500.0,3500.0,3500.0
9,3500.0,3500.0,3500.0
10,3500.0,3500.0,3500.0
11,3500.0,3500.0,3500.0
12,3500.0,3500.0,3500.0
13,3500.0,3500.0,3500.0
14,3500.0,3500.0,3500.0
15,3500.0,3500.0,3500.0
16,3500.0,3500.0,3500.0
17,3500.0,3500.0,3500.0
18,3500.0,3500.0,3500.0
19,3500.0,3500.0,3500.0
20,3500.0,3500.0,3500.0
21,3500.0,3500.0,3500.0
22,3500.0,3500.0,3500.0
23,3500.0,3500.0,3500.0
24,3500.0,3500.0,3500.0
25,3500.0,3500.0,3500.0
26,3500.0,3500.0,3500.0
27,3500.0,3500.0,3500.0
28,3500.0,3500.0,3500.0
29,3500.0,3500.0,3500.0
30,3500.0,3500.0,3500.0
31,3500.0,3500.0,3500.0
32,3500.0,3500.0,3500.0
33,3500.0,3500.0,3500.0
34,3500.0,3500.0,3500.0
35,3500.0,3500.0,3500.0
36,3500.0,3500.0,3500.0
37,3500.0,3500.0,3500.0
38,3500.0,3500.0,3500.0
39,3500.0,3500.0,3500.0
40,3500.0,3500.0,3500.0
41,3500.0,3500.0,3500.0
42,3500.0,3500.0,3500.0
43,3500.0,3500.0,3500.0
44,3500.0,3500.0,3500.0
45,3500.0,3500.0,3500.0
46,3500.0,3500.0,3500.0
47,3500.0,3500.0,3500.0
48,3500.0,3500.0,3500.0
49,3500.0,3500.0,3500.0
50,3500.0,3500.0,3500.0
51,3500.0,3500.0,3500.0
52,3500.0,3500.0,3500.0
53,3500.0,3500.0,3500.0
54,3500.0,3500.0,3500.0
55,3500.0,3500.0,3500.0
56,3500.0,3500.0,3500.0
57,3500.0,3500.0,3500.0
58,3500.0,3500.0,3500.0
59,3500.0,3500.0,3500.0
60,3500.0,3500.0,3500.0
61,3500.0,3500.0,3500.0
62,3500.0,3500.0,3500.0
63,3500.0,3500.0,3500.0
64,3500.0,3500.0,3500.0
65,3500.0,3500.0,3500.0
